,review,rating
0,a relatively new hotel and close to everything the rooms are fine and equipped with everything they upgraded our room without asking the breakfast was excellent and surprising they even made omelets upon request ,4/5
1,we stayed for two night there over weekend and really enjoyedit is a new fashion style hotel at the heart of the cityroom are indeed a bit on the small size but brand new with modern touch and nice bedstaff was helpful ,5/5
2,amazing staff and hotel one of the best hotels i have stayed in highly recommended the staff is friendly and do their best to help you the room is nice clean and has all want you need for your stay the location is very good in the city centre near everything,5/5
3,great city hotelthe hotel is in perfect location within the centre of thessalonikiit is wheelchair accessible with wheelchair accessible rooms with all the corect amenitiesthe staff of the hotel is really fantastic as everyone are so polite gentle and ready to helpbreakfast is really goodfor sure a realy great hotel,5/5
4,me and my husbend were in the hotel  the staff was amazing especialy panagiotis he was kind help us to find day trips and gave us recomandations for making our stay memorable the room was very convenient and the breakfast very rich,5/5
5,we will not come backwe booked a  night stay online we chose the best room available executive suite since our flight landed past midnight i emailed the hotel to make sure that their reception was open no reply ,1/5
6,during our recent stay at the hotel we were thoroughly impressed with every aspect of our experience the reception team provided exceptional service with professionalism kindness and a genuine willingness to assist in every situation a special thanks to barbara babis kostas and alex for their outstanding efforts which truly exceeded our expectations and made us feel welcome throughout our staythe rooms were excellentimmaculately clean wellmaintained and comfortable we had no complaints whatsoever everything was perfect the breakfast was outstanding with a great variety of delicious options that ensured a fantastic start to each daythe hotels location in the center of thessaloniki was also very convenient providing easy access to local attractions and dining options its definitely worth the price offering great value for moneyoverall the combination of topnotch service highquality rooms and excellent amenities made our stay truly memorable we will be leaving photos of the room and the hotel to showcase our great experience we highly recommend this hotel to anyone seeking a superior stay in thessaloniki its clear that great care is taken to ensure guest satisfaction and provide excellent valuebest regardsleon and mia,5/5
7,nice city hotel well decorated and very modern  rooms are little bit small but its ok if its just for couple of days  bathroom it on another level  just perfect  excellent location walking distance to main attractionsstaff always with a smile and helpful surely will return on my next trip to thessaloniki,5/5
8,really enjoyed our stay will choose it every time we visit thessaloniki,5/5
9,the hotel is located in the centre of the city min from aristotelous squareladadikaagora modiano etc the staff were kind and helpful we stayed at the business room which on site the layout make it seemed smaller that m ,3/5
10,not just   stars for this hotel in thessaloniki the name is the address and its logo resembles chanels no  i really discovered a gemlocation perfectcentral without the noise of aristotelous square but within walking distancerooms have all the amenities they are spotless clean and everything is brand newa mezzanine restaurant is a convenient solution if you want to stay in although there are tons of options around the hotelbut you must try the restaurant at least oncethe food was delicious gourmet but portions are bigi went to thessaloniki for business and although the hotel is not your typical chainfranchise business hotel there was nothing missing to do businessbest part of all is the staffbest service ever everyone is friendly polite helpful i want to mention anna costas efthimis and yiannis and thank them because they were next to me helping me and helped with my meetings so much it was like i was in my officemust stay at no  ,5/5
11,in a centar of the city very luxurious rooms stuff are very professional but at the same time so friendly and helpful complimentary cake on arrival very warm welcome,5/5
12,perfect hotel deserves all of the  stars very modern interior beautiful decorated rooms comfortable beds spacious showers and the most convenient intelligent lighting inside the room friendly staff throughout the hotel and great selection for breakfast one of the best hotels ive been to highly recommended,5/5
13,when we checked in we were given an upgrade which was a room the same size except with a double bed instead of twin beds we were waiting an hour for them to move us to the room we booked with twin beds the beds themselves were comfortable but the room is very small and so is the balcony the price was a bit high for the service we received definitely not five star as they claim and i would advise you stay away from this hotel,2/5
14,even before we arrived at the hotel i called to ask for taxi arrangements from the airport ,5/5
15,we came in the hotel very late and were greeted by such a nice receptionist who expressly checked us in and recommended us a restaurant open at that hour in the morning before we left they also advised us on sites to visit during our vacationif you are only staying at the hotel before going to the port the location is great  mins walking  mins by taxi but i am sure it is also good if you want to explore the city centrethe rooms were a bit small but had everything we needed  comfortable beds every bathroom amenity you can imagine the breakfast was also incredible and of great varietythe hotel also ordered us a taxi from the airport to the hotel and from the hotel to the port,5/5
16,dear readersi have been traveling for more than  years and have seen many different hotels rules and also policies ,1/5
17,very nice new hotel rooms are small but very comfortable and with good mattresseswould stay there again on a next visit to thessaloniki the breakfast room is not very cosy but the quality of the breakfast is above average,5/5
18,i had a wonderful  night stay at the  ermou hotel i usually stay at another  star hotel in thessaloniki that is twice as expensive as this hotel the location was great it was within an easy walking distance to anywhere in the city that youre likely to go i stayed in the elegant suite which was a very nice room it was immaculate modern and sleek and the bed was really comfortable the best thing about the hotel was the service everyone was so friendly and courteous and they were very quick in providing any service that was asked of them ill definitely be back,5/5
19,from the moment i stepped into no ermou i was met with an undeniable sense of elegance and warmth perfectly nestled in the city center its location offers unbeatable convenience the staff truly stood out showcasing professionalism and an eagerness to assist at every turn the interiors were a delightful blend of bright and clean aesthetics making my stay both comfortable and visually pleasing its not just a hotel its an experience id recommend to any traveler seeking the best the city has to offer,5/5
20,stayed there for  nights and everything was excellent location is great because its close to everything from foodentertainment to shopping all staff have been very respectful and helpfulalways there to help with any concernsthank you for making our stay memorable till next time,5/5
21,the location of the hotel was great for walking and tours the hotel is a little small but very clean the breakfast was okay but but not at a five star hotel level if its crowded probably they lack some food options the lift is too small for a  star hotel the suite is pretty quiet but the mattress was too rigid,4/5
