review,rating
"I would like to give this place seven stars out of five, but I only could give five due to the technical issues. This is a sightseeing worth your while. Remarkable views, rich history, easy access, you name it. If you ever visit Peloponnesus Greece, you have to pay a visit to the Ancient Mystras!",5
"Beautiful & well reserved site. I wish there was more information on site, to help understand what we see (for a UNESCO site that's what i expect).",4
"It would be a nice place to see if it were taken care of better. It’s like actual ruins. No signs of making it place.. lots of grass. Looks like still abandon place. The entrance fee of €20 seems too much for it. The place had its glory times and the history behind is fascinating, however, nowadays it’s just a place for making money and not restoring such a nice place. Such a shame.  The views from the top are just stunning. It’s quite a walk uphill but it definitely worth it.",2
"There’s great art/paintings on the wall. A big site to walk around, and the views are incredible. Everyone needs to see it! Be prepared for a lot of stairs.",5
One of the most impressive and intriguing archeological sites in the Peloponnese from the historical and christianity point of view! There are 2 gates one at the lower part and one at the upper end! You can park the car down and go up the hill and then descend on another path. You need at least 2 hours to  really enjoy the place. In the evening is less crowded. The staff is wellcoming and helpful!,5
"This is a beautiful and impressive site.  There are so many beautiful buildings and the history and views are equally amazing.  I wasn’t quite prepared for how much of an uphill hike it is to see all the buildings are the Mystras.  The upper entrance was closed due to construction, so we entered from the bottom and then it was up up up to see everything else.  I’m sure this will be easy for some, but more challenging for others.  Definitely worth the effort.",5
"What a gem. A walk through  a medieval historic castle -settlement with ancient churches and glorious views of the Spartan valley. A challenging walk ,at some spots through steep stone paths. At normal pace it takes 1 h 50 minutes (including stops to admire the different churches and the small museum) to reach the mountaintop acropolis. The fully renovated palace was closed due to final touches and is opening officially April 2026. Very helpful and knowledgeable staff . Tip :You can drive up to the second entrance ,which is closer to the mountain top and then drive back to enter via the main entrance to see the museum and the larger monuments and areas. Go for it.",5
"Beyond awesome! A huge open air museum of a Byzantine town with loads of intact churches, a ruined castle and lots of other ruins. Lots of walking uphill and down dale so you need to be reasonably fit and wear good shoes. You need all day!!!!",5
"Wonderful site, beautiful view on they way up. To make it all the way to the castle bring some time and energy, but its worth the effort. 12€ entry, plan at least 1h to go up and down. Leaving some pictures for further impressions.",5
The archeological site is made up of 2 sections; an upper and a lower. If you have a vehicle drive up to the very top car park and do the upper section first. You’ll need to be fit as it’s a steep 800m climb but it’s well worth the stupendous views!  We started out at 8am to beat the heat and the groups. After finishing the top section we drove to the lower car park and walked that section. It’s quite steep as well and you’ll do lots of steps. It’s well worth it and highly recommended.,5
