review,rating,sentiment
nice archaeological site two monasteries well preserved bizantine palace closed dont go see many stairs bit sloopy,4,Positive
beautiful sight highly worth visiting visited march crowded entrance free sunday note quite hike visit entire park may challenging heat greek summer bathroom facilities limited bottom parkhill,5,Positive
would nice place see taken care better like actual ruins signs making place lots grass looks like still abandon place entrance fee 20 seems much place glory times history behind fascinating however nowadays place making money restoring nice place shame views top stunning quite walk uphill definitely worth,2,Neutral
actually peak historical experience ruins incredibly well preserved views breathtaking definitely multihour adventure hike bring comfy sturdy shoes also many cute cats,5,Positive
one impressive intriguing archeological sites peloponnese historical christianity point view 2 gates one lower part one upper end park car go hill descend another path need least 2 hours really enjoy place evening less crowded staff wellcoming helpful,5,Positive
would like give place seven stars five could give five due technical issues sightseeing worth remarkable views rich history easy access name ever visit peloponnesus greece pay visit ancient mystras,5,Positive
gem walk medieval historic castle settlement ancient churches glorious views spartan valley challenging walk spots steep stone paths normal pace takes 1 h 50 minutes including stops admire different churches small museum reach mountaintop acropolis fully renovated palace closed due final touches opening officially april 2026 helpful knowledgeable staff tip drive second entrance closer mountain top drive back enter via main entrance see museum larger monuments areas go,5,Positive
beyond awesome huge open air museum byzantine town loads intact churches ruined castle lots ruins lots walking uphill dale need reasonably fit wear good shoes need day,5,Positive
theres great artpaintings wall big site walk around views incredible everyone needs see prepared lot stairs,5,Positive
archeological site made 2 sections upper lower vehicle drive top car park upper section first youll need fit steep 800m climb well worth stupendous views started 8am beat heat groups finishing top section drove lower car park walked section quite steep well youll lots steps well worth highly recommended,5,Positive
